Company,Executive,Title,Since,Notes,Updated,undergraduate_years,undergraduate_institute,undergraduate_major,undergraduate_minor,undergraduate_degree,undergraduate_note,master_years,master_institute,master_major,master_minor,master_degree,master_note,phd_years,phd_institute,phd_major,phd_minor,phd_degree,phd_note
Accenture,Julie Sweet,CEO[1],2019,"Succeeded Pierre Nanterme, died",2019/01/31,1985-1989,Claremont McKenna College,International Relations,,BA,Activities and Societies: Debate team; spent one year abroad studying Chinese in Taiwan and Taipei Language Institute and in Beijing at Peking University (Beida),1990-1992,Columbia Law School,Law,,JD,,,,,,,
Aditya Birla Group,Kumar Mangalam Birla,Chairman[2],1995[2],Part of the Birla family business house in India,2018/10/01,,University of Mumbai,,,Bcom,,,London Business School,,,MBA,,,,,,,
Adobe Systems,Shantanu Narayen,"Chairman, president and CEO[3]",2007,Formerly with Apple Inc.,2018/10/01,,Osmania University,electronics and communication engineering,,BE,,????-1986:::????-1993,"Bowling Green State University:::University of California, Berkeley",,,MS:::MBA,,,,,,,
Agenus,Garo H. Armen,"Founder, chairman, CEO[4]",1994,Founder of the Children of Armenia Fund (COAF),2018/10/01,,,,,,,,,,,,,????-1979,City University of New York,physical chemistry,,PhD,
Airbus,Guillaume Faury,CEO[5],2012,Succeeded Louis Gallois,2017/11/14,1987 – 1990,École Polytechnique,Physique,,Diplôme d'ingénieur,,1990-1992:::1998-2000,ISAE-SUPAERO:::Aix-Marseille Graduate School of Management - IAE,"Science et technologie aéronautique / aérospatiale / aviation, général:::Administration des entreprises",,Diplôme d'ingénieur:::DESS,,,,,,,
Alibaba,Daniel Zhang,CEO[6],2015,Previously with Taobao,2018/10/01,,Shanghai University of Finance and Economics,finance,,,,,,,,,,,,,,,
Amazon.com,Jeff Bezos,"Founder, President, CEO and chairman[7]",1994,Founder of the firm and one of the world's wealthiest people,2018/10/01,,Princeton University,"electrical engineering, computer science",,"BSE, EECS","In 1986, he graduated summa cum laude from Princeton University with a 4.2 GPA and a Bachelor of Science in Engineering degree (B.S.E.) in electrical engineering and computer science; he was also a member of Phi Beta Kappa. While at Princeton, Bezos was a member of the Quadrangle Club, one of Princeton's 11 eating clubs. In addition, he was elected to Tau Beta Pi and was the president of the Princeton chapter of the Students for the Exploration and Development of Space (SEDS).",,,,,,,,,,,,
Advanced Micro Devices,Lisa Su,CEO and president[8],2014,Formerly with Texas Instruments,2018/10/01,1986-1991,MIT,Electrical Engineering,,BS/MS,"Activities and Societies: VI-A program, UROP program, Eta Kappa Nu",1986-1991,MIT,Electrical Engineering,,BS/MS,"Activities and Societies: VI-A program, UROP program, Eta Kappa Nu",1990-1994,MIT,Electrical Engineering,,PhD,"Activities and Societies: Semiconductor device physics and integration, Silicon-on-Insulator devices (Area V)"
American Express,Stephen Squeri,Chairman and CEO[9],2018,Former vice chairman of American Express since 2015,2018/10/01,????-1981,Manhattan College,,,BA,,????-1986,Manhattan College,,,MBA,,,,,,,
American Airlines Group,Doug Parker,Chairman and CEO[10],2013,Previously CEO for US Airways,2018/10/01,????-1984,Albion College,Economics,,BA,,????-1986,Vanderbilt University,Finance,,MBA,,,,,,,
Anthem Inc.,Joseph R. Swedish,"Chairman, president and CEO[11]",2013,"Previously with Centura Health and Trinity Health (Livonia, Michigan)",2018/10/01,,University of North Carolina at Charlotte,Political Science,,BA,,,Duke University,,,Master of Health Administration,,,,,,,
Apple Inc.,Tim Cook,CEO[12],2011,Replaced Steve Jobs,2018/10/01,????-1982,Auburn University,Industrial engineering,,BS,,????-1988,Duke University,,,MBA,,,,,,,
Arcelor Mittal,Lakshmi Niwas Mittal,Chairman and CEO[13],2006,Owner of Queens Park Rangers F.C.,2018/10/01,,"St. Xavier's College, affiliated to the University of Calcutta",,,B.Com,,,,,,,,,,,,,
AT&T,John Stankey,CEO[14],2020,Former CEO of WarnerMedia,2020/11/19,????-1985,Loyola Marymount University,Finance,,B.B.A.,,????-1991,UCLA,,,MBA,,,,,,,
BAE Systems,Charles Woodburn,Chief Executive Officer[15],2008,Succeeded Ian King,2018/10/01,1989-1992,University of Cambridge,Physics & Electrical Engineering (EIST),,BA/MA,Activities and Societies: St. John's College; First Class Honours,2003-2005,RSM Erasmus Universiteit,,,MBA,Schlumberger in-company MBA (part-time),1992 – 1995,University of Cambridge,Electrical Engineering,,PhD,Activities and Societies: St. John's College
Bajaj Allianz General Insurance,Tapan Singhel,MD and CEO[16],2012,President of the Indo-German Chamber of Commerce,2018/10/01,,,,,,,1988-1990,Banaras Hindu University,Physics,,M.Sc.,M.Sc. with specialisation in spectroscopy and lasers,,,,,,
Banco Bilbao Vizcaya Argentaria,Carlos Torres Vila,Chairman and CEO[17],2015,Previously with Endesa,2018/10/01,1984-1988,MIT,"Electrical Engineering, Management",,BS,,1989-1990:::1984-1994,MIT:::Universidad Nacional de Educación a Distancia - U.N.E.D.,Management:::Law,,MSc:::Licenciado,,,,,,,
Bank of America,Brian Moynihan,Chairman and CEO[18],2009,Previously with FleetBoston Financial until it merged with BOA,2018/10/01,????-1981,Brown University,history,,BA,"co-captained the rugby team, and met his future wife, classmate Susan E. Berry",,University of Notre Dame Law School,,,JD,,,,,,,
Barclays,Jes Staley,Group Chief Executive[19],2015,Succeeded Antony Jenkins,2018/10/01,,Bowdoin College,economics,,BA,graduated cum laude,,,,,,,,,,,,
Berkshire Hathaway,Warren Buffett,Chairman and CEO,1970,One of the world's wealthiest people,2018/10/01,,University of Nebraska,Business Administration,,BS,"In 1947, Buffett entered the Wharton School of the University of Pennsylvania. He would have preferred to focus on his business ventures, but his father pressured him to enroll. Warren studied there for two years and joined the Alpha Sigma Phi fraternity.",????-1951,Columbia University,Economics,,MS,,,,,,,
Best Buy,Hubert Joly,Chairman and CEO[20],2012,Previously CEO of CWT,2018/10/01,1978-1981,HEC Paris,,,BA,,1981-1983,Institut d'Etudes politiques de Paris,Economics,,PA,,,,,,,
Bharti Enterprises,Sunil Bharti Mittal,Founder and chairman[21],1985,Founder of the firm,2018/10/01,,,,,,,,,,,,,,,,,,
Blackstone Group,Stephen A. Schwarzman,"Chairman, CEO and co-founder[22]",1985,Co-founded the firm with Peter George Peterson,2017/11/15,????-1969,Yale University,,,BA,,????-1972,Harvard Business School,,,MBA,,,,,,,
BHP Billiton,Andrew Mackenzie,CEO[23],2013,Previously with BP and the Rio Tinto Group,2017/11/15,????-1977,University of St Andrews,geology,,BSc,,,,,,,,????-1981,University of Bristol,organic chemistry,,PhD,
