category1,category2,category3,category4
Arts and Humanities,"Arts, Visual, and Performing",NONE,Arts and Entertainment Management
Arts and Humanities,"Arts, Visual, and Performing",NONE,Ballet
Arts and Humanities,"Arts, Visual, and Performing",NONE,"Crafts, Folk Art, and Artisanry"
Arts and Humanities,"Arts, Visual, and Performing",NONE,Dance
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Commercial and Advertising Art
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Commercial Photography
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Design and Visual Communications
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Fashion Design
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Game and Interactive Media Design
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Graphic Design
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Illustration
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Industrial and Product Design
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Interior Design
Arts and Humanities,"Arts, Visual, and Performing",NONE,Digital Arts
Arts and Humanities,"Arts, Visual, and Performing",NONE,Documentary Production
Arts and Humanities,"Arts, Visual, and Performing",NONE,Film Production
Arts and Humanities,"Arts, Visual, and Performing",NONE,Film Studies
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,"Art History, Criticism, and Conservation"
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,"Arts, General"
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,Ceramics
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,Drawing
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,"Fiber, Textile, and Weaving Arts"
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,Metal and Jewelry Arts
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,Multimedia
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,Painting
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,Printmaking
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,Sculpture
Arts and Humanities,"Arts, Visual, and Performing",Fine and Studio Art,Studio Arts
Arts and Humanities,"Arts, Visual, and Performing",NONE,Fine and Studio Arts Management
Arts and Humanities,"Arts, Visual, and Performing",Music,Brass Instruments
Arts and Humanities,"Arts, Visual, and Performing",Music,Conducting
Arts and Humanities,"Arts, Visual, and Performing",Music,Jazz Studies
Arts and Humanities,"Arts, Visual, and Performing",Music,Keyboard Instruments
Arts and Humanities,"Arts, Visual, and Performing",Music,Music
Arts and Humanities,"Arts, Visual, and Performing",Music,"Music History, Literature, and Theory"
Arts and Humanities,"Arts, Visual, and Performing",Music,Music Pedagogy
Arts and Humanities,"Arts, Visual, and Performing",Music,Music Performance
Arts and Humanities,"Arts, Visual, and Performing",Music,Music Technology
Arts and Humanities,"Arts, Visual, and Performing",Music,Music Theory and Composition
Arts and Humanities,"Arts, Visual, and Performing",Music,Musicology and Ethnomusicology
Arts and Humanities,"Arts, Visual, and Performing",Music,Percussion Instruments
Arts and Humanities,"Arts, Visual, and Performing",Music,Stringed Instruments
Arts and Humanities,"Arts, Visual, and Performing",Music,Voice and Opera
Arts and Humanities,"Arts, Visual, and Performing",Music,Woodwind Instruments
Arts and Humanities,"Arts, Visual, and Performing",NONE,Music Management and Merchandising
Arts and Humanities,"Arts, Visual, and Performing",NONE,Photography
Arts and Humanities,"Arts, Visual, and Performing",Theater Arts,Acting
Arts and Humanities,"Arts, Visual, and Performing",Theater Arts,Costume Design
Arts and Humanities,"Arts, Visual, and Performing",Theater Arts,Directing and Theatrical Production
Arts and Humanities,"Arts, Visual, and Performing",Theater Arts,Musical Theater
Arts and Humanities,"Arts, Visual, and Performing",Theater Arts,Playwriting and Screenwriting
Arts and Humanities,"Arts, Visual, and Performing",Theater Arts,Theater Arts
Arts and Humanities,"Arts, Visual, and Performing",Theater Arts,Theater Design and Stagecraft
Arts and Humanities,"Arts, Visual, and Performing",Theater Arts,"Theater Literature, History, and Criticism"
Arts and Humanities,"Arts, Visual, and Performing",NONE,Theater Management
Arts and Humanities,"Arts, Visual, and Performing",NONE,"Visual and Performing Arts, General"
Arts and Humanities,English Language and Literature,NONE,American Literature
Arts and Humanities,English Language and Literature,NONE,British Literature
Arts and Humanities,English Language and Literature,NONE,Canadian Literature
Arts and Humanities,English Language and Literature,NONE,Children's and Adolescent Literature
Arts and Humanities,English Language and Literature,NONE,Creative Writing
Arts and Humanities,English Language and Literature,NONE,English
Arts and Humanities,English Language and Literature,NONE,English Composition
Arts and Humanities,English Language and Literature,NONE,General Literature
Arts and Humanities,English Language and Literature,NONE,"Professional, Technical, Business, and Scientific Writing"
Arts and Humanities,English Language and Literature,NONE,Rhetoric and Composition
Arts and Humanities,English Language and Literature,NONE,Speech and Rhetorical Studies
Arts and Humanities,English Language and Literature,NONE,"Writing, General"
Arts and Humanities,"Languages, Literatures, and Linguistics",NONE,African Languages
Arts and Humanities,"Languages, Literatures, and Linguistics",NONE,American Sign Language (ASL)
Arts and Humanities,"Languages, Literatures, and Linguistics",NONE,Ancient Greek
Arts and Humanities,"Languages, Literatures, and Linguistics",NONE,Ancient Near Eastern and Biblical Languages
Arts and Humanities,"Languages, Literatures, and Linguistics",NONE,Applied Linguistics
Arts and Humanities,"Languages, Literatures, and Linguistics",NONE,Arabic
Arts and Humanities,"Languages, Literatures, and Linguistics",NONE,Celtic Languages
Arts and Humanities,"Languages, Literatures, and Linguistics",NONE,Classics
Arts and Humanities,"Languages, Literatures, and Linguistics",NONE,Comparative Literature
Arts and Humanities,"Languages, Literatures, and Linguistics",East Asian Languages,Chinese
Arts and Humanities,"Languages, Literatures, and Linguistics",East Asian Languages,"East Asian Languages, General"
Arts and Humanities,"Languages, Literatures, and Linguistics",East Asian Languages,Japanese
