category1,category2,category3,category4,url,introduction,definition,help,spotlight,degreeType,pullQuoteOne,pullQuoteTwo,readyList,collegeList,highSchoolCourseList,majorCourseList,relatedMajors,relatedCareers,collegeSearch
Arts and Humanities,"Arts, Visual, and Performing",NONE,Arts and Entertainment Management,https://bigfuture.collegeboard.org/majors/arts-visual-performing-arts-entertainment-management,"Using a special combination of business skills, arts and entertainment managers play a key role in bringing great performances, paintings, scripts, songs, and more to the public. If you choose this major, you’ll learn how to support and market artists and art events, raise funds, manage finances, and develop programming for arts organizations.
The modern arts and entertainment industries are incredibly diverse. You may find yourself doing anything from fundraising for a local arts council to developing programs in museums to producing films or rock bands’ world tours. Whether you decide to work at an opera company, television network, or art gallery, you’ll be part of a thriving cultural network connecting the arts and artists to the community.","Students of arts and entertainment management learn how to use business skills to support and promote a variety of visual, performing, and media arts and artists. If you choose this major, you can pick a program that focuses on either the not-for-profit arts world, or the entertainment industry.","Enthusiastic about bringing the arts to new and larger audiences. It also helps to have excellent communication skills, which you’ll need to work with diverse groups such as artists, donors, and volunteers.","Art forms like music, theater, and dance need an audience. A course in marketing for the arts will help you find ways to connect with the right crowd and fill up the house. You’ll learn how to use marketing tools like audience surveys to find out what an audience thinks about current programming and what they want to see in the future. You’ll also learn how to use email, direct mail, telemarketing, and social media to get your message out. Finally, you’ll put it all together and develop a strategic marketing plan to reach a core audience and -- with any luck -- bring in new patrons. ",This major often leads to the bachelor's degree.,Performing and visual artists sometimes double major in arts and entertainment management to gain arts-related business skills.,"Huge summer music festivals, like Coachella and Bonnaroo, require a virtual army of arts managers to do everything from booking the bands to promoting the shows to finding a place for the artists to stay while they’re in town.",Complete an internship:::::Advocate for the arts at local and national levels:::::Learn how to write proposals and applications for grants:::::Practice creating budgets:::::Create a marketing plan:::::Learn about laws and regulations that affect arts and entertainment organizations:::::Explore 3-D animation and other new technologies in digital media:::::Develop a broad knowledge of visual and performing arts,Is the program geared more toward the not-for-profit arts world or the entertainment industry?:::::What are the backgrounds and interests of the faculty?:::::Does the campus have modern performance and gallery spaces?:::::Is the program part of an art department or the business school? Does it provide a balance between course work in the arts and entertainment and in business?:::::Will the program help you find an internship in arts or entertainment management?:::::Will the program help you find a job after graduation?,Music history:::::Accounting:::::Economics:::::Theater arts:::::Dance:::::AP Art History:::::Business,"Accounting
:::::Arts and entertainment law
:::::Finance for the arts:::::Fundraising and development
:::::Labor relations for the arts:::::Grant proposal planning and writing:::::Advocacy for arts majors:::::Working with not-for-profit boards
:::::Producing popular recorded music
:::::Marketing for the arts
","Art History, Criticism, and Conservation:::::Business Administration and Management:::::Dance:::::Museum Studies:::::Music Management and Merchandising:::::Studio Arts:::::Theater Arts","Advertising, Marketing, and Public Relations Managers:::::Art Directors:::::Arts Administrators:::::Choreographers:::::Curators:::::Directors",https://bigfuture.collegeboard.org/college-search?major=2323_Arts%20and%20Entertainment%20Management
Arts and Humanities,"Arts, Visual, and Performing",NONE,Ballet,https://bigfuture.collegeboard.org/majors/arts-visual-performing-ballet,"Ballet majors learn to express ideas and feelings through classical dance. They practice ballet technique, pointe, partnering, and, often, modern dance. They also study choreography, dance notation, specific styles, and the history of ballet.",,,,This major often leads to the bachelor's degree.,,,,,,,Dance:::::Theater Arts,,https://bigfuture.collegeboard.org/college-search?major=1412_Ballet
Arts and Humanities,"Arts, Visual, and Performing",NONE,"Crafts, Folk Art, and Artisanry",https://bigfuture.collegeboard.org/majors/arts-visual-performing-crafts-folk-art-artisanry,"Students in this program learn the art and craft of designing and creating objects in one or more of the handcraft or folk art traditions, such as ceramics or wood art.",,,,This major often leads to the bachelor's degree.,,,,,,,Design and Visual Communications:::::Studio Arts,,"https://bigfuture.collegeboard.org/college-search?major=1409_Crafts,%20Folk%20Art,%20and%20Artisanry"
Arts and Humanities,"Arts, Visual, and Performing",NONE,Dance,https://bigfuture.collegeboard.org/majors/arts-visual-performing-dance,"Is dance your favorite way to express yourself? As a dance major, prepare not only to develop your physical skills, but also to explore the history, theory, and science of your art. Get ready for a tough schedule of technique and choreography classes, long evenings in rehearsal, and academic classes. Dance majors challenge their bodies and their minds in this demanding art form.
Both the bachelor of fine arts (B.F.A.) and the bachelor of arts (B.A.) prepare students for careers as dancers and choreographers. The B.A. also prepares students for careers in dance education, administration, and therapy.","Students of dance learn to express ideas and emotions through dance forms such as ballet, modern, jazz, ethnic, and folk dance. Classes cover such topics as dance technique, choreography, and the history of dance.",Creative and self-disciplined. You’ll need to be able to manage your time well. It also helps to be a good listener and a good teacher.,"Throughout your study of dance, you’ll learn about different systems of dance notation, or ways of describing human movement through written symbols and abbreviations. You are sure to encounter labanotation, a notation system that uses symbols to represent the exact positions of each body part. Labanotation can describe any human movement, from large patterns that move the dancer across the floor to the smallest hand gesture. ",This major often leads to the bachelor's degree.,"“There is so much more to dancing than just dancing ... I feel as though I knew about one-tenth of what I needed to know about dance before I came to college.” Alecia, sophomore, dance and premed, University of Wisconsin, Stevens Point",Most dancers end up teaching dance at some point in their careers.,"Spend a lot of time practicing and rehearsing:::::Help produce dance concerts, working with lights, costumes, and sound:::::Retrain your body to meet the demands of new techniques, from tap to African:::::Tune your instrument -- learn about good nutrition, positive body image, and ways to prevent injury",Is the department accredited by the National Association of Schools of Dance?:::::What is the audition policy?:::::Will you get the chance to perform each semester?:::::Which type of dance does the department focus on?:::::What is the department’s ratio of students to faculty members?:::::What are grads doing now?,AP Music Theory:::::Music:::::Theater arts:::::Dance,"Ballet, modern, and jazz technique:::::Body conditioning:::::Choreography (also called composition):::::Dance education:::::Dance history:::::Dance notation:::::Dance theory, philosophy, and criticism:::::Music for dancers:::::Technical production for dance:::::World dance",Anthropology:::::Arts and Entertainment Management:::::Communication and Rhetoric:::::Drama and Dance Teacher Education:::::Exercise Science:::::Musical Theater:::::Theater Arts,"Adult Educators:::::Arts Administrators:::::Athletic Trainers:::::Choreographers:::::Dancers:::::Elementary, Middle, and High School Teachers:::::Physical Therapists:::::Recreational Therapists",https://bigfuture.collegeboard.org/college-search?major=1411_Dance
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Commercial and Advertising Art,https://bigfuture.collegeboard.org/majors/arts-visual-performing-design-applied-arts-commercial-advertising-art,"Commercial might be a dirty word to some, but if you’d rather live comfortably than starve for your art, this major could be just the ticket.
Like other art majors, you’ll build drawing and other basic art skills -- and exercise your creativity. However, you’ll also study graphic design and learn how to create ads that get the word out and turn a profit. You’ll practice on real-world projects such as billboards, brochures, and product packaging. By the time you graduate, you’ll have the practical edge you need to work in the business world.",Commercial and advertising art majors learn how to connect the dots between art and business by using their artistic talents to create ads and other sales tools.,An artist with a head for business. Being a good team player is also important -- this kind of work demands it.,"Get ready to get real in commercial illustration, where you’ll take your art beyond beauty to a more practical place.
In this class, you’ll learn how illustrations are used to serve specific functions, such as informing, explaining, narrating, or selling. For example, you may be asked to make a small product look larger than life. Or you may try your hand at translating figurative language (such as “she’s on cloud nine”) into visual images.
Though your grade will be based mostly on your projects, don’t be surprised if you have to write a few papers as well. ",This major is often offered at the associate's and at the bachelor's level.,Your portfolio is your resume in this business: most employers will expect to see at least ten work samples before they’ll even consider hiring you.,"Cartooning is another avenue for commercial artists, but be careful when choosing a school. Not all commercial art programs offer cartooning classes.","Put together a portfolio:::::Show your work:::::Build your business sense:::::Give and receive constructive criticism:::::Create everything from book covers to logos:::::Practice combining images and lettering:::::Learn commercial art fundamentals from concept to composition:::::Work in many mediums, from lithography to collage to computer graphics","Does the program emphasize a certain aspect of art, such as illustration or graphic design? Does the course work suit your needs?:::::Are studios and labs equipped with the latest graphic design software? Will you have access to color laser printers and other peripherals?:::::Do professors offer substantial real-world experience in your particular area of interest?:::::How will the department help you prepare for life after graduation? Is there a job placement service? ",Computer/graphic arts:::::Commercial art:::::Business:::::AP Studio Art:::::AP Art History,Advertising layout:::::Commercial illustration:::::Design and color:::::Desktop publishing:::::Drawing:::::Graphic design:::::Introduction to commercial art:::::Multimedia design:::::Photography:::::Typography,Art Teacher Education:::::Design and Visual Communications:::::Digital Communications and Multimedia:::::Graphic Design:::::Photography:::::Studio Arts,"Advertising, Marketing, and Public Relations Managers:::::Art Directors:::::Graphic Designers:::::Illustrators:::::Multimedia Artists and Animators:::::Photographers:::::Web Designers",https://bigfuture.collegeboard.org/college-search?major=1416_Commercial%20and%20Advertising%20Art
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Commercial Photography,https://bigfuture.collegeboard.org/majors/arts-visual-performing-design-applied-arts-commercial-photography,"Commercial photography students learn how to create photos, films, and videos for business purposes. Topics of study include camera and equipment operation and maintenance as well as business management.",,,,This major most often leads to the associate's degree.,,,,,,,Film Production:::::Graphic Design:::::Photography,,https://bigfuture.collegeboard.org/college-search?major=1418_Commercial%20Photography
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Design and Visual Communications,https://bigfuture.collegeboard.org/majors/arts-visual-performing-design-applied-arts-design-visual-communications,"Like broad strokes across a canvas, the major in design and visual communications cuts a wide swath through a range of applied arts, from fashion design to industrial design.
In this major, you’ll learn what it takes to communicate ideas and information effectively -- no matter what art form you’re using. Though you’ll have to take a few courses on theory, you’ll have plenty of opportunity to build the practical skills you’ll need to work in the field.","Students of design and visual communications study a wide range of applied arts disciplines, from interior design to illustration and beyond.","Artistic, versatile, and open-minded. You’ll study many art forms in this major.","Why do some computer icons make sense to the eye, while others don't? You’ll find out in an introductory class on visual communication. You’ll learn how we use visual devices -- such as typography, images, and color -- to communicate, educate, and persuade. And you’ll probably get to do a small design project of your own, so get ready to put what you learn into practice. ",This major often leads to the bachelor's degree.,"If you want to sample many arts now and specialize later, this major may be a good way to go.","Even though breadth is what this major is all about, you may be able to add depth with a specialty like applied photography or graphic design.",Dabble in many disciplines:::::Put together a portfolio:::::Show your work:::::Study the history of design:::::Spend long hours in the studio,"Is the department accredited by the National Association of Schools of Art and Design?:::::Is the program competitive? Will you need to submit a portfolio for consideration?:::::Is the program well balanced, or does it focus more on a particular subject, such as graphic design?:::::Are the studios and labs comfortable and well equipped? Are computers up-to-date with current software?:::::Will the college help you find work after graduation?:::::What are recent grads doing now?",AP Art History:::::Photography:::::Computer/graphic arts:::::Commercial art:::::Business:::::AP Studio Art,Art history:::::Drawing:::::Graphic design:::::History of design:::::Illustration:::::Information design:::::Typography:::::Visual communication:::::Web design,Commercial and Advertising Art:::::Digital Communications and Multimedia:::::Drafting and Design Technology:::::Graphic Design:::::Photography:::::Studio Arts,"Art Directors:::::Elementary, Middle, and High School Teachers:::::Graphic Designers:::::Illustrators:::::Multimedia Artists and Animators:::::Photographers:::::Web Designers",https://bigfuture.collegeboard.org/college-search?major=1415_Design%20and%20Visual%20Communications
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Fashion Design,https://bigfuture.collegeboard.org/majors/arts-visual-performing-design-applied-arts-fashion-design,"You may dream of seeing your creations on the runway. But if you decide to take the plunge and major in fashion design, get ready to be snapped into reality.
This is one demanding major. Working around the clock to finish original creations won't be enough. You'll also have to meet the highest standards of accuracy, taking exact measurements and cutting patterns to precision. But if fashion is your passion, this major may be custom-made for you.",Fashion design majors learn the nuts and bolts of designing and making clothing and accessories. Classes cover everything from sketching and computer design to pattern making and fabric selection.,A fashion fanatic who is both creative and precise: you’ll need both qualities to make it in this business. Patience with details and an ability to work in a team are also key.,"Fashion sketching class is where it all begins for most fashion design majors. You’ll learn to apply basic drawing skills to the fashion figure, with an emphasis on proportion.
You'll have to put in some serious time in the studio every week, but the effort will pay off. By the time you finish this class, you should be able to express all of your fashion fantasies on paper. And you’ll probably have a portfolio to show for it. ",This major is often offered at the associate's and at the bachelor's level.,"“Fashion design is a highly technical industry, requiring great attention to detail and patience. It is this aspect that students often find most challenging.” Mary Stephens, Fashion Design Department Chair, Fashion Institute of Design and Merchandising","With a degree in fashion design, you’ll have the skills to recreate any garment you want -- even the gorgeous gown your favorite actress wore to the Academy Awards.",Sketch designs:::::Create a clothing collection:::::Sew garments:::::Study textiles and fabrics:::::Construct patterns:::::Use computer-aided design (CAD) programs,"Is the program accredited by the National Association of Schools of Art and Design?:::::Are the professors fashion industry professionals?:::::Check out student work. Does it look professional? Can you feel the creative pulse?:::::Are computers kept up-to-date with the latest fashion design software?:::::What opportunities will you have to show your work?:::::Is there a fashion club on campus?:::::Does the school offer exchange programs or tours of study in New York, London, Paris, and other centers of design?:::::Will the college help you find work after graduation?",AP Studio Art:::::Computer-assisted drafting (CAD):::::AP Art History:::::Theater arts:::::Pre-college math,"Apparel construction techniques:::::Color and design theory:::::Computer-aided fashion design:::::Computer grading, marking, and cutting:::::Fashion sketching:::::History of costume:::::Pattern drafting:::::Textile fibers and fabrics",Fashion Merchandising:::::Industrial and Product Design:::::Interior Design:::::Marketing:::::Studio Arts:::::Theater Design and Stagecraft,"Buyers and Purchasers:::::Craft Artists:::::Fashion Designers:::::Industrial Designers:::::Interior Designers:::::Theater, Film, and TV Technicians",https://bigfuture.collegeboard.org/college-search?major=1419_Fashion%20Design
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Game and Interactive Media Design,https://bigfuture.collegeboard.org/majors/arts-visual-performing-design-applied-arts-game-interactive-media-design,"Quick: How many people do you know who play video games? Do you have a killer at-home gaming system -- how about your six-year-old cousin? Exactly. One of the world’s fastest growing industries, video games contribute billions of dollars to the U.S. economy each year.
Of course, video games have come a long way since the days of Ms. Pacman; in this major, you’ll learn what it takes to fully immerse users in a virtual world. You’ll study 3-D computer animation, digital sound and design, and learn how to develop stories and characters for your games through writing and psychology classes. Eventually, you’ll begin writing advanced computer code and explore fields like artificial intelligence to create games that “think” on their own and even predict their human players’ next move.",Students in this field combine advanced animation techniques and computer programming skills to create video games and interactive media programs.,"As creative as you are computer savvy. A sense of humor is also important: games are supposed to be fun, after all.","It takes a team to create the many different elements of a successful new game, as you'll learn firsthand in game design and development, a commonly required course. Though you may start out with an overview of game history, you’ll quickly move into the nitty-gritty of concept development and production. The end result could be a preliminary design document for a game or the actual finished product. Either way, the emphasis is on collaborating with your teammates, the way they do it in the business world.",This major often leads to the bachelor's degree.,"Video games are increasingly being used as learning tools. In DimensionM, an educational video game, players use math skills to complete missions and advance to the next level of play.","When an MIT student and his buddies created the first interactive computer game in 1962, technology was so limiting that they used text characters to create graphics.","Design an interactive portfolio:::::Spend long nights in the lab, testing and troubleshooting:::::Work with other students on team projects:::::Create your own electronic games:::::Learn the latest game software programs:::::Study the history of game design","Does the program offer a B.A., B.S., or B.F.A. (bachelor of fine arts)?:::::Does the program offer a stand-alone major, or is it a concentration within the art or computer science major?:::::Does the program focus more on art and design or programming and development, or does it strike a balance between the two?:::::Can you choose an area of concentration, such as animation or programming?:::::Are instructors industry professionals?:::::Check out the facilities. Are labs equipped with cutting-edge game software and computer-game-playing stations?:::::Is there an internship program or other opportunities for real-world experience?:::::What are recent grads doing now?",Website design:::::Theater arts:::::Creative writing:::::Computer/graphic arts:::::AP Computer Science A:::::AP Art History:::::AP Studio Art,"History of games and gaming
:::::Level design
:::::Physics
:::::Storytelling for games
:::::2-D and 3-D graphics:::::3-D modeling & animation:::::Artificial intelligence:::::Computer programming
:::::Digital music and sound
:::::Interactive design
:::::Drawing studio
:::::Game design and development
",Animation and Special Effects:::::Computer Graphics:::::Computer Science:::::Digital Arts:::::Digital Communications and Multimedia:::::Graphic Design:::::Web Development,Art Directors:::::Computer Programmers:::::Graphic Designers:::::Multimedia Artists and Animators:::::Web Designers,https://bigfuture.collegeboard.org/college-search?major=2075_Game%20and%20Interactive%20Media%20Design
Arts and Humanities,"Arts, Visual, and Performing",Design and Applied Arts,Graphic Design,https://bigfuture.collegeboard.org/majors/arts-visual-performing-design-applied-arts-graphic-design,"Look at a CD jacket, website, magazine, or poster. Are you drawn in by the images and words you see? Are the colors appealing? Is the look open and inviting, or busy and cluttered?
These are the kinds of questions you’ll confront as a graphic design major. You’ll learn the basics of good design, which include the way type (style of lettering) and images are used to make visual statements. Whether your goal is to work in print or multimedia, you’ll learn to use the cutting-edge computer programs that every graphic designer today needs to know.","Graphic design majors learn the design and computer skills necessary to create the look for books, magazines, CD jackets, websites, and more.","A visual person who is creative, organized, and computer savvy. An ability to work well with others is important, too. Graphic design is not a solo act.","Studio is at the heart of most graphic design programs. In this class, you’ll gain tons of practical experience by trying your hand at real-world projects such as corporate logos, websites, and publication design. Portfolio and resume preparation, career options, and interview techniques typically round out this demanding course. ",This major often leads to the bachelor's degree.,"“For most designers, design is a way of life and a way of thinking about things, not just a job.” Meredith Davis, Professor of Graphic Design, North Carolina State University College of Design","Although your work will depend on your artistic talent, the client comes first in this field -- even if that means tossing out an idea you think is worthy of Picasso.",Enter student competitions:::::Complete an internship:::::Put together a portfolio:::::Exhibit your work:::::Study in a tight-knit community:::::Work long hours in the studio,"Is graphic design a major of its own, or is it an emphasis within art or another major?:::::Is the department accredited by the National Association of Schools of Art and Design?:::::How many professors teach graphic design only? How recently have they practiced out in the field?:::::Check out the studios and labs. Are they well equipped and in good condition? Do computers have the latest graphic design software? Are color printers, digital cameras, and other state-of-the art equipment available for your use?:::::Is there a student chapter of the American Institute of Graphic Arts on campus?",AP Art History:::::Website design:::::Photography:::::Drafting:::::Computer/graphic arts:::::AP Studio Art,Graphic design studio:::::Graphic design techniques:::::History of graphic design:::::Photoshop for designers:::::Production design:::::Typography,Animation and Special Effects:::::Commercial and Advertising Art:::::Digital Arts:::::Industrial and Product Design:::::Photography:::::Studio Arts:::::Web Development,"Advertising, Marketing, and Public Relations Managers:::::Art Directors:::::Graphic Designers:::::Illustrators:::::Photographers:::::Web Designers",https://bigfuture.collegeboard.org/college-search?major=1421_Graphic%20Design
