category,url
01) AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90283
"01.00) Agriculture, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89502
"01.0000) Agriculture, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90055
01.01) Agricultural Business and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90284
"01.0101) Agricultural Business and Management, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90285
01.0102) Agribusiness/Agricultural Business Operations.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90286
01.0103) Agricultural Economics.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90287
01.0104) Farm/Farm and Ranch Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90288
01.0105) Agricultural/Farm Supplies Retailing and Wholesaling.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90056
01.0106) Agricultural Business Technology/Technician.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89503
"01.0199) Agricultural Business and Management, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90289
01.02) Agricultural Mechanization.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90290
"01.0201) Agricultural Mechanization, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90291
01.0204) Agricultural Power Machinery Operation.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90292
01.0205) Agricultural Mechanics and Equipment/Machine Technology/Technician.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89504
01.0207) Irrigation Management Technology/Technician.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91752
"01.0299) Agricultural Mechanization, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90293
01.03) Agricultural Production Operations.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90294
"01.0301) Agricultural Production Operations, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90295
01.0302) Animal/Livestock Husbandry and Production.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90296
01.0303) Aquaculture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90297
01.0304) Crop Production.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90298
01.0306) Dairy Husbandry and Production.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89505
01.0307) Horse Husbandry/Equine Science and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89506
01.0308) Agroecology and Sustainable Agriculture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91392
01.0310) Apiculture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=92947
"01.0399) Agricultural Production Operations, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90299
01.04) Agricultural and Food Products Processing.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90300
01.0401) Agricultural and Food Products Processing.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90301
01.0480) Reserved.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93227
01.05) Agricultural and Domestic Animal Services.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90302
01.0504) Dog/Pet/Animal Grooming.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89507
01.0505) Animal Training.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90303
01.0507) Equestrian/Equine Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90304
01.0508) Taxidermy/Taxidermist.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89508
01.0509) Farrier Science.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91696
"01.0599) Agricultural and Domestic Animal Services, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90305
01.06) Applied Horticulture and Horticultural Business Services.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90306
"01.0601) Applied Horticulture/Horticulture Operations, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90307
01.0603) Ornamental Horticulture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90308
01.0604) Greenhouse Operations and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90309
01.0605) Landscaping and Groundskeeping.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90310
01.0606) Plant Nursery Operations and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90311
01.0607) Turf and Turfgrass Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90312
01.0608) Floriculture/Floristry Operations and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89509
01.0609) Public Horticulture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91697
01.0610) Urban and Community Horticulture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91698
01.0680) Reserved.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93228
