definition,see_also,change,text_change,examples,code_2020,title_2020,code_2010,title_2010
"Instructional programs that focus on agriculture, animal, plant, veterinary, and related sciences and that prepares individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural and veterinary operations",None available,No Substantive Changes,None available,None available,01,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS.,01,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
Instructional content is defined in code 01.0000,None available,No Substantive Changes,None available,None available,01.00,"Agriculture, General.",01.00,"Agriculture, General."
"A program that focuses on the general principles and practice of agricultural research and production and that may prepare individuals to apply this knowledge to the solution of practical agricultural problems.  Includes instruction in basic animal, plant, and soil science; animal husbandry and plant cultivation; soil conservation; and agricultural operations such as farming, ranching, and agricultural business",14.0301) Agricultural Engineering.,No Substantive Changes,None available,None available,01.0000,"Agriculture, General.",01.0000,"Agriculture, General."
Instructional content for this group of programs is defined in codes 01.0101 - 01.0199,None available,No Substantive Changes,None available,None available,01.01,Agricultural Business and Management.,01.01,Agricultural Business and Management.
"A  general program that focuses on modern business and economic principles involved in the organization, operation, and management of agricultural enterprises",None available,No Substantive Changes,None available,None available,01.0101,"Agricultural Business and Management, General.",01.0101,"Agricultural Business and Management, General."
"A program that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations.  Includes instruction in agriculture, agricultural specialization, business management, accounting, finance, marketing, planning, human resources management, and other managerial responsibilities",None available,No Substantive Changes,None available,None available,01.0102,Agribusiness/Agricultural Business Operations.,01.0102,Agribusiness/Agricultural Business Operations.
"A program that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally.  Includes instruction in economics and related subfields as well as applicable agricultural fields",03.0204) Natural Resource Economics.,No Substantive Changes,None available,[Agroeconomics],01.0103,Agricultural Economics.,01.0103,Agricultural Economics.
"A program that prepares individuals to manage farms, ranches, and similar enterprises.  Includes instruction in applicable agricultural specialization, business management, accounting, taxation, capitalization, purchasing, government programs and regulations, operational planning and budgeting, contracts and negotiation, and estate planning",None available,No Substantive Changes,None available,None available,01.0104,Farm/Farm and Ranch Management.,01.0104,Farm/Farm and Ranch Management.
"A program  that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products.  Includes instruction in basic business management, marketing, retailing and wholesaling operations, and applicable principles of agriculture and agricultural operations","52.0202) Purchasing, Procurement/Acquisitions and Contracts Management., 52.1803) Retailing and Retail Operations., 52.1901) Auctioneering.",No Substantive Changes,None available,None available,01.0105,Agricultural/Farm Supplies Retailing and Wholesaling.,01.0105,Agricultural/Farm Supplies Retailing and Wholesaling.
"A program that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems.  Includes instruction in basic agricultural business principles, office management, equipment operation, standard software, and database management",None available,No Substantive Changes,None available,None available,01.0106,Agricultural Business Technology/Technician.,01.0106,Agricultural Business Technology.
Any instructional program in agricultural business and management not listed above,None available,No Substantive Changes,None available,None available,01.0199,"Agricultural Business and Management, Other.",01.0199,"Agricultural Business and Management, Other."
Instructional content for this group of programs is defined in codes 01.0201 - 01.0299,None available,No Substantive Changes,None available,None available,01.02,Agricultural Mechanization.,01.02,Agricultural Mechanization.
"A program that generally prepares individuals to sell, select, and service agricultural or agribusiness technical equipment and facilities, including computers, specialized software, power units, machinery, equipment structures, and utilities.  Includes instruction in agricultural power systems, planning and selecting materials for the construction of support facilities, mechanical practices associated with irrigation and water conservation, erosion control, and agricultural data processing systems",None available,No Substantive Changes,None available,None available,01.0201,"Agricultural Mechanization, General.",01.0201,"Agricultural Mechanization, General."
"A program that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, or hand-operated nature. Includes instruction in operating specialized equipment such as terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos, irrigation, pumping, and applications such as dairy, feeding and shearing operations; processing equipment; and applicable electrical, mechanical, and safety principles",49.0202) Construction/Heavy Equipment/Earthmoving Equipment Operation.,No Substantive Changes,None available,[Farm Equipment Operator],01.0204,Agricultural Power Machinery Operation.,01.0204,Agricultural Power Machinery Operation.
"A program that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles.  Includes instruction in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and their application to the maintenance of terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos; irrigation and pumping equipment; dairy, feeding, and shearing operations; and processing systems",None available,No Substantive Changes,None available,[Agricultural Equipment Mechanic]:::::[Agricultural Equipment Technician]:::::[Agricultural Machinery Technician]:::::[Farm Equipment Service Technician],01.0205,Agricultural Mechanics and Equipment/Machine Technology/Technician.,01.0205,Agricultural Mechanics and Equipment/Machine Technology.
"A program that prepares individuals for employment in the field of agricultural technology and irrigation. Includes instruction in irrigation and drainage methodologies, pumping and delivery systems, system design and evaluation, and principles of installation and repair of irrigation systems",None available,New,None available,None available,01.0207,Irrigation Management Technology/Technician.,,
Any instructional program in agricultural mechanization not listed above,None available,No Substantive Changes,None available,None available,01.0299,"Agricultural Mechanization, Other.",01.0299,"Agricultural Mechanization, Other."
Instructional content for this group of programs is defined in codes 01.0301 - 01.0399,None available,No Substantive Changes,None available,None available,01.03,Agricultural Production Operations.,01.03,Agricultural Production Operations.
"A program that focuses on the general planning, economics, and use of facilities, natural resources, equipment, labor, and capital to produce plant and animal products, and that may prepare individuals for work in farming, ranching, and agribusiness",None available,No Substantive Changes,None available,None available,01.0301,"Agricultural Production Operations, General.",01.0301,"Agricultural Production Operations, General."
"A program that prepares individuals to select, breed, care for, process, and market livestock and small farm animals.  Includes instruction in basic animal science, animal nutrition, and animal health as applied to various species and breeds; design and operation of housing, feeding, and processing facilities; and related issues of safety, applicable regulations, logistics, and supply",None available,No Substantive Changes,None available,None available,01.0302,Animal/Livestock Husbandry and Production.,01.0302,Animal/Livestock Husbandry and Production.
"A program that prepares individuals to select, culture, propagate, harvest, and market domesticated fish, shellfish, and marine plants, both freshwater and saltwater.  Includes instruction in the basic principles of aquatic and marine biology; health and nutrition of aquatic and marine life; design and operation of fish farms, breeding facilities, culture beds, and related enterprises; and related issues of safety, applicable regulations, logistics, and supply",None available,No Substantive Changes,None available,None available,01.0303,Aquaculture.,01.0303,Aquaculture.
"A program that prepares individuals to cultivate grain, fiber, forage, oilseed, fruits and nuts, vegetables, and other domesticated plant products.  Includes instruction in basic principles of plant science, health, and nutrition as applied to particular species and breeds; soil preparation and irrigation; pest management; planting and harvesting operations; product marketing; and applicable issues of safety, regulation, logistics, and supply",None available,No Substantive Changes,None available,None available,01.0304,Crop Production.,01.0304,Crop Production.
"A program that prepares individuals to manage the selection and care of dairy animals and associated dairy farm and processing facilities and operations.  Includes instruction in basic animal and dairy science; dairy animal nutrition and health; design and operation of dairy housing, feeding, and processing facilities and equipment; and related issues of safety, sanitation, shipping and handling, and applicable regulations",None available,No Substantive Changes,None available,None available,01.0306,Dairy Husbandry and Production.,01.0306,Dairy Husbandry and Production.
"A program that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and to manage horse farms, stables, tracks and related equipment and operations.  Includes instruction in applicable principles of animal science, care, and health; stable and track management; design and operation of facilities and equipment; and related issues such as regulations, business management; and logistics",None available,No Substantive Changes,None available,None available,01.0307,Horse Husbandry/Equine Science and Management.,01.0307,Horse Husbandry/Equine Science and Management.
"A program that focuses on agricultural principles and practices that, over the long term, enhance environmental quality, make efficient use of nonrenewable resources, integrate natural biological cycles and controls, and are economically viable and socially responsible; and that may prepare individuals to apply this knowledge to the solution of agricultural and environmental problems. Includes instruction in principles of agroecology, crop and soil sciences, entomology, horticulture, animal science, weed science and management, soil fertility and nutrient cycling, applied ecology, agricultural economics, and rangeland ecology and watershed management",30.3301) Sustainability Studies.,No Substantive Changes,None available,[Agroecology]:::::[Sustainable Agriculture]:::::[Organic Farming],01.0308,Agroecology and Sustainable Agriculture.,01.0308,Agroecology and Sustainable Agriculture.
"A program that focuses on improving the beekeeping industry, promoting pollination of fruits and vegetables, and bee colony expansion and maintenance. Includes instruction in apiary behavior, apiary equipment and supplies, beekeeping, bee pests and parasites, handling bees, hive set up and care, queen rearing, and seasonal management practices",36.0120) Beekeeping.,New,None available,[Scientific Beekeeping]:::::[Apiary Management],01.0310,Apiculture.,,
Any instructional program in agricultural production operations not listed above,None available,No Substantive Changes,None available,None available,01.0399,"Agricultural Production Operations, Other.",01.0399,"Agricultural Production Operations, Other."
Instructional content for this group of programs is defined in codes 01.0401 - 01.0480,None available,No Substantive Changes,None available,None available,01.04,Agricultural and Food Products Processing.,01.04,Agricultural and Food Products Processing.
"A program that prepares individuals to receive, inspect, store, process, and package agricultural products in the form of human food consumables, animal or plant food, or other industrial products.  Includes instruction in the nutrient and industrial properties of various agricultural products; logistics and storage procedures; chemical and mechanical processing operations; packaging; safety and health requirements; and related technical and business principles",None available,No Substantive Changes,None available,None available,01.0401,Agricultural and Food Products Processing.,01.0401,Agricultural and Food Products Processing.
Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting,None available,New,None available,None available,01.0480,Reserved.,,
Instructional content for this group of programs is defined in codes 01.0504 - 01.0599,None available,No Substantive Changes,None available,None available,01.05,Agricultural and Domestic Animal Services.,01.05,Agricultural and Domestic Animal Services.
"A program that prepares individuals to provide cosmetic services for household pets, show animals, work animals and animal athletes.  Includes instruction in skin, coat, and pelt grooming and styling; skin care; hoof, nail, and claw care; animal massage; minor first aid and veterinary referral; animal grooming products and applications; health and safety; and applicable regulations",None available,No Substantive Changes,None available,None available,01.0504,Dog/Pet/Animal Grooming.,01.0504,Dog/Pet/Animal Grooming.
"A program that prepares individuals to teach and exercise animals for leisure, sport, show, and professional purposes.  Includes instruction in animal psychology, health, and safety; human-animal interaction; learning and behavior styles associated with different breeds and species; and the technical and pedagogical aspects of training animals for such specific functions as obedient household pets, performing show animals, animal athletes, caregiving (e.g., seeing-eye dogs), search and rescue, and police/security work",None available,No Substantive Changes,None available,None available,01.0505,Animal Training.,01.0505,Animal Training.
"A program that focuses on the horse, horsemanship, and related subjects and prepares individuals to care for horses and horse equipment; ride and drive horses for leisure, sport, show, and professional purposes; and manage the training of horses and riders.  Includes instruction in horse breeding, nutrition, health, and safety; history of the horse and horsemanship; horse development and training; riding and equestrian technique; stable, paddock, and track management; and equipment maintenance and repair",None available,No Substantive Changes,None available,None available,01.0507,Equestrian/Equine Studies.,01.0507,Equestrian/Equine Studies.
"A program that prepares individuals to reproduce life-like three-dimensional representations of living animals for permanent display using elements of the deceased specimen(s) as well as artificial materials, and to manage taxidermy services and businesses.  Includes instruction in specimen grading and selection, caping and fleshing, preservation procedures, tanning, drying, measurements, form and armature construction, carpentry and woodworking, molding and casting, drawing, sculptural techniques, painting and finishing techniques, basic business operations, customer communications, and applicable laws and regulations",None available,No Substantive Changes,None available,None available,01.0508,Taxidermy/Taxidermist.,01.0508,Taxidermy/Taxidermist.
